symbol,ok,priceBRL,status,message
WFCO34,0,,0,"fetch failed"
AMOB3,0,,0,"fetch failed"
BMKS3,0,,0,"fetch failed"
CVCB3,0,,0,"fetch failed"
DOTZ3,0,,0,"fetch failed"
IFCM3,0,,0,"fetch failed"
MELI34,0,,0,"fetch failed"
NUIF11,0,,0,"fetch failed"
PAGS34,0,,0,"fetch failed"
PGCO34,0,,0,"fetch failed"
POSI3,0,,0,"fetch failed"
PYPL34,0,,0,"fetch failed"
VISA34,0,,0,"fetch failed"
BBSE3,0,,0,"fetch failed"
IRBR3,0,,0,"fetch failed"
PSSA3,0,,0,"fetch failed"
SULA11,0,,0,"fetch failed"
AAPL,0,,0,"fetch failed"
ABBV,0,,0,"fetch failed"
ABT,0,,0,"fetch failed"
ADBE,0,,0,"fetch failed"
AMAT,0,,0,"fetch failed"
AMD,0,,0,"fetch failed"
AMZN,0,,0,"fetch failed"
ASML,0,,0,"fetch failed"
AVGO,0,,0,"fetch failed"
BABA,0,,0,"fetch failed"
BAC,0,,0,"fetch failed"
BRK.B,0,,0,"fetch failed"
COST,0,,0,"fetch failed"
CRM,0,,0,"fetch failed"
CSCO,0,,0,"fetch failed"
CVX,0,,0,"fetch failed"
DHR,0,,0,"fetch failed"
DIS,0,,0,"fetch failed"
GOOGL,0,,0,"fetch failed"
HD,0,,0,"fetch failed"
IBM,0,,0,"fetch failed"
INTC,0,,0,"fetch failed"
JNJ,0,,0,"fetch failed"
JPM,0,,0,"fetch failed"
KO,0,,0,"fetch failed"
LLY,0,,0,"fetch failed"
LRCX,0,,0,"fetch failed"
MA,0,,0,"fetch failed"
MCD,0,,0,"fetch failed"
MELI,0,,0,"fetch failed"
META,0,,0,"fetch failed"
MRK,0,,0,"fetch failed"
MSFT,0,,0,"fetch failed"
NEE,0,,0,"fetch failed"
NFLX,0,,0,"fetch failed"
NKE,0,,0,"fetch failed"
NVDA,0,,0,"fetch failed"
PDD,0,,0,"fetch failed"
PEP,0,,0,"fetch failed"
PG,0,,0,"fetch failed"
QCOM,0,,0,"fetch failed"
TMO,0,,0,"fetch failed"
TSLA,0,,0,"fetch failed"
TSM,0,,0,"fetch failed"
TXN,0,,0,"fetch failed"
UNH,0,,0,"fetch failed"
V,0,,0,"fetch failed"
WMT,0,,0,"fetch failed"
XOM,0,,0,"fetch failed"
AURA33,0,,0,"fetch failed"
BRAP3,0,,0,"fetch failed"
BRAP4,0,,0,"fetch failed"
CMIN3,0,,0,"fetch failed"
CSNA3,0,,0,"fetch failed"
FESA4,0,,0,"fetch failed"
GGBR3,0,,0,"fetch failed"
GGBR4,0,,0,"fetch failed"
GOAU3,0,,0,"fetch failed"
GOAU4,0,,0,"fetch failed"
INEP3,0,,0,"fetch failed"
INEP4,0,,0,"fetch failed"
KEPL3,0,,0,"fetch failed"
MYPK3,0,,0,"fetch failed"
ROMI3,0,,0,"fetch failed"
TTEN3,0,,0,"fetch failed"
TUPY3,0,,0,"fetch failed"
USIM3,0,,0,"fetch failed"
USIM5,0,,0,"fetch failed"
VALE3,0,,0,"fetch failed"
ALLD3,0,,0,"fetch failed"
ATTA3,0,,0,"fetch failed"
BBAS11,0,,0,"fetch failed"
CRPG5,0,,0,"fetch failed"
CTSA3,0,,0,"fetch failed"
CTSA4,0,,0,"fetch failed"
DESK3,0,,0,"fetch failed"
ETER3,0,,0,"fetch failed"
FHER3,0,,0,"fetch failed"
FIQE3,0,,0,"fetch failed"
GRND3,0,,0,"fetch failed"
HAGA3,0,,0,"fetch failed"
HAGA4,0,,0,"fetch failed"
IGSN3,0,,0,"fetch failed"
LPSB3,0,,0,"fetch failed"
MILS3,0,,0,"fetch failed"
MULT3,0,,0,"fetch failed"
OPCT3,0,,0,"fetch failed"
RCSL3,0,,0,"fetch failed"
RCSL4,0,,0,"fetch failed"
SCAR3,0,,0,"fetch failed"
SEQL3,0,,0,"fetch failed"
SHUL4,0,,0,"fetch failed"
TASA3,0,,0,"fetch failed"
TASA4,0,,0,"fetch failed"
VITT3,0,,0,"fetch failed"
VULC3,0,,0,"fetch failed"
WEGE3,0,,0,"fetch failed"
KLBN11,0,,0,"fetch failed"
KLBN3,0,,0,"fetch failed"
KLBN4,0,,0,"fetch failed"
POMO3,0,,0,"fetch failed"
POMO4,0,,0,"fetch failed"
RANI3,0,,0,"fetch failed"
SUZB3,0,,0,"fetch failed"
BRKM3,0,,0,"fetch failed"
BRKM5,0,,0,"fetch failed"
BRKM6,0,,0,"fetch failed"
CATP34,0,,0,"fetch failed"
UNIP3,0,,0,"fetch failed"
UNIP6,0,,0,"fetch failed"
ATTB34,0,,0,"fetch failed"
BRAV3,0,,0,"fetch failed"
CHVX34,0,,0,"fetch failed"
COPH34,0,,0,"fetch failed"
CSAN3,0,,0,"fetch failed"
EXXO34,0,,0,"fetch failed"
OIBR3,0,,0,"fetch failed"
OIBR4,0,,0,"fetch failed"
OXYP34,0,,0,"fetch failed"
PETR3,0,,0,"fetch failed"
PETR4,0,,0,"fetch failed"
PRIO3,0,,0,"fetch failed"
PRNR3,0,,0,"fetch failed"
RECV3,0,,0,"fetch failed"
RPMG3,0,,0,"fetch failed"
SLBG34,0,,0,"fetch failed"
UGPA3,0,,0,"fetch failed"
VBBR3,0,,0,"fetch failed"
ENBR3,0,,0,"fetch failed"
LWSA3,0,,0,"fetch failed"
SAPR11,0,,0,"fetch failed"
SAPR3,0,,0,"fetch failed"
SAPR4,0,,0,"fetch failed"
SBSP3,0,,0,"fetch failed"
ABBV34,0,,0,"fetch failed"
AMGN34,0,,0,"fetch failed"
